Identifier,Taxa1,Taxa2,Taxa3
SMGC_1331,Virus,Unassigned,Unassigned
SMGC_1332,Virus,Siphoviridae,Siphoviridae
SMGC_1333,Virus,Siphoviridae,Siphoviridae
SMGC_1334,Virus,Myoviridae,Myoviridae
SMGC_1335,Virus,Myoviridae,Myoviridae
SMGC_1336,Virus,Siphoviridae,Siphoviridae
SMGC_1337,Virus,Inoviridae,Inoviridae
SMGC_1338,Virus,Myoviridae,Myoviridae
SMGC_1339,Virus,Siphoviridae,Siphoviridae
SMGC_1340,Virus,Myoviridae,Myoviridae
SMGC_1314,Virus,Myoviridae,Myoviridae
SMGC_1315,Virus,Myoviridae,Myoviridae
SMGC_1343,Virus,Podoviridae,Podoviridae
SMGC_1344,Virus,Other,Other
SMGC_1345,Virus,Podoviridae,Podoviridae
SMGC_1346,Virus,Siphoviridae,Siphoviridae
SMGC_1347,Virus,Myoviridae,Myoviridae
SMGC_1316,Virus,Siphoviridae,Siphoviridae
SMGC_1322,Virus,Myoviridae,Myoviridae
SMGC_1323,Virus,Siphoviridae,Siphoviridae
SMGC_1313,Virus,Myoviridae,Myoviridae
SMGC_1325,Virus,Myoviridae,Myoviridae
SMGC_1326,Virus,Siphoviridae,Siphoviridae
SMGC_1327,Virus,Podoviridae,Podoviridae
SMGC_1328,Virus,Myoviridae,Myoviridae
SMGC_1329,Virus,Other,Other
SMGC_1317,Virus,Siphoviridae,Siphoviridae
SMGC_1318,Virus,Unassigned,Unassigned
SMGC_1319,Virus,Siphoviridae,Siphoviridae
SMGC_1320,Virus,Myoviridae,Myoviridae
SMGC_1321,Virus,Myoviridae,Myoviridae
SMGC_1349,Virus,Siphoviridae,Siphoviridae
SMGC_1350,Virus,Other,Other
SMGC_1351,Virus,Siphoviridae,Siphoviridae
SMGC_1324,Virus,Myoviridae,Myoviridae
SMGC_1353,Virus,Other,Other
SMGC_1341,Virus,Unassigned,Unassigned
SMGC_1342,Virus,Siphoviridae,Siphoviridae
SMGC_1352,Virus,Siphoviridae,Siphoviridae
SMGC_1357,Virus,Myoviridae,Myoviridae
SMGC_1354,Virus,Other,Other
SMGC_1355,Virus,Unassigned,Unassigned
SMGC_1356,Virus,Siphoviridae,Siphoviridae
SMGC_1348,Virus,Myoviridae,Myoviridae
SMGC_1358,Virus,Siphoviridae,Siphoviridae
SMGC_1359,Virus,Siphoviridae,Siphoviridae
SMGC_1361,Virus,Baculoviridae,Baculoviridae
SMGC_1360,Virus,Siphoviridae,Siphoviridae
SMGC_1366,Virus,Myoviridae,Myoviridae
SMGC_1367,Virus,Siphoviridae,Siphoviridae
SMGC_1363,Virus,Podoviridae,Podoviridae
SMGC_1364,Virus,Siphoviridae,Siphoviridae
SMGC_1369,Virus,Siphoviridae,Siphoviridae
SMGC_1370,Virus,Other,Other
SMGC_1368,Virus,Other,Other
SMGC_1365,Virus,Siphoviridae,Siphoviridae
SMGC_1362,Virus,Siphoviridae,Siphoviridae
SMGC_1374,Virus,Siphoviridae,Siphoviridae
SMGC_1375,Virus,Siphoviridae,Siphoviridae
SMGC_1376,Virus,Siphoviridae,Siphoviridae
SMGC_1377,Virus,Siphoviridae,Siphoviridae
SMGC_1371,Virus,Unassigned,Unassigned
SMGC_1378,Virus,Siphoviridae,Siphoviridae
SMGC_1379,Virus,Siphoviridae,Siphoviridae
SMGC_1372,Virus,Siphoviridae,Siphoviridae
SMGC_1373,Virus,Siphoviridae,Siphoviridae
SMGC_1380,Virus,Siphoviridae,Siphoviridae
SMGC_1381,Virus,Siphoviridae,Siphoviridae
SMGC_1382,Virus,Papillomaviridae,Papillomaviridae
SMGC_1383,Virus,Papillomaviridae,Papillomaviridae
SMGC_1386,Virus,Papillomaviridae,Papillomaviridae
SMGC_1385,Virus,Myoviridae,Myoviridae
SMGC_1384,Virus,Siphoviridae,Siphoviridae
SMGC_1387,Virus,Papillomaviridae,Papillomaviridae
SMGC_1388,Virus,Papillomaviridae,Papillomaviridae
SMGC_1391,Virus,Siphoviridae,Siphoviridae
SMGC_1390,Virus,Siphoviridae,Siphoviridae
SMGC_1389,Virus,Siphoviridae,Siphoviridae
SMGC_1398,Virus,Myoviridae,Myoviridae
SMGC_1399,Virus,Siphoviridae,Siphoviridae
SMGC_1400,Virus,Siphoviridae,Siphoviridae
SMGC_1397,Virus,Siphoviridae,Siphoviridae
SMGC_1402,Virus,Siphoviridae,Siphoviridae
SMGC_1392,Virus,Myoviridae,Myoviridae
SMGC_1403,Virus,Other,Other
