Identifier,Taxa1,Taxa2,Taxa3
SMGC_1712,Virus,Myoviridae,Myoviridae
SMGC_1713,Virus,Unassigned,Unassigned
SMGC_1714,Virus,Siphoviridae,Siphoviridae
SMGC_1726,Virus,Other,Other
SMGC_1716,Virus,Siphoviridae,Siphoviridae
SMGC_1717,Virus,Siphoviridae,Siphoviridae
SMGC_1729,Virus,Siphoviridae,Siphoviridae
SMGC_1730,Virus,Siphoviridae,Siphoviridae
SMGC_1733,Virus,Siphoviridae,Siphoviridae
SMGC_1732,Virus,Siphoviridae,Siphoviridae
SMGC_1731,Virus,Other,Other
SMGC_1734,Virus,Siphoviridae,Siphoviridae
SMGC_1735,Virus,Unassigned,Unassigned
SMGC_1765,Virus,Siphoviridae,Siphoviridae
SMGC_1766,Virus,Siphoviridae,Siphoviridae
SMGC_1767,Virus,Siphoviridae,Siphoviridae
SMGC_1768,Virus,Myoviridae,Myoviridae
SMGC_1769,Virus,Siphoviridae,Siphoviridae
SMGC_1770,Virus,Podoviridae,Podoviridae
SMGC_1771,Virus,Siphoviridae,Siphoviridae
SMGC_1772,Virus,Siphoviridae,Siphoviridae
SMGC_1773,Virus,Podoviridae,Podoviridae
SMGC_1774,Virus,Podoviridae,Podoviridae
SMGC_1775,Virus,Myoviridae,Myoviridae
SMGC_1776,Virus,Podoviridae,Podoviridae
SMGC_1777,Virus,Siphoviridae,Siphoviridae
SMGC_1778,Virus,Siphoviridae,Siphoviridae
