feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG39	ST	30	-0.0156053228200575	0.00463817798702882	1346	1346	0.000896605959419321	0.0166250189342932
KEGG48	ST	45	-0.0570386801625401	0.0172401471831935	1346	1346	0.000967489398424812	0.0177257879068546
KEGG3	ST	5	0.0140813708895982	0.00422853265867711	1346	1346	0.00102949579264784	0.0186399297045296
KEGG61	ST	30	-0.0121307230959146	0.00364446187873807	1346	1346	0.00106147692421825	0.0189954998415335
KEGG58	ST	4603	0.041560395348936	0.0126902160831192	1346	1346	0.00108961402876249	0.0192748964398329
KEGG45	ST	30	-0.00920934556233736	0.00280784915773348	1346	1346	0.00120453914265042	0.0210657470515796
KEGG40	ST	30	-0.00795144874214566	0.00243480394004582	1346	1346	0.0012638695956434	0.0216121700855021
KEGG69	ST	97	0.0107321473313957	0.00331754210056865	1346	1346	0.00126004187074235	0.0216121700855021
KEGG106	ST	15	-0.0373261087814023	0.0116165976697206	1346	1346	0.0013494298676442	0.0226818304009904
KEGG63	ST	97	0.0100162326464366	0.00311554995465996	1346	1346	0.00135589889336655	0.0226818304009904
KEGG125	ST	15	-0.0158574218365454	0.00488271191728258	1346	1346	0.00146552610363702	0.0242520932634126
KEGG41	ST	45	0.0147127194225949	0.00454852446419375	1346	1346	0.00156117731573643	0.025560126477855
KEGG18	ST	30	-0.0116884111119242	0.00365223724910508	1346	1346	0.00159655344915716	0.0258641658763459
KEGG25	ST	30	-0.0116856314029323	0.00365633543683473	1346	1346	0.00161585290208671	0.0259041418365776
KEGG4	ST	39	-0.0148844511245882	0.00471266978175455	1346	1346	0.00164228416999552	0.0260564467796196
KEGG16	ST	97	0.0229027326439228	0.00728771159862339	1346	1346	0.0018839281144026	0.0295853608986285
KEGG55	ST	97	0.0114286186871039	0.00371912745984462	1346	1346	0.00217062858130603	0.0334059738662998
KEGG68	ST	97	0.0114283899193117	0.00371892073829488	1346	1346	0.00216984533967954	0.0334059738662998
KEGG52	ST	30	-0.0127678289056122	0.00413885261897917	1346	1346	0.00235463434795277	0.0358790322920724
KEGG49	ST	30	-0.0111209980230718	0.00361945942243078	1346	1346	0.0024909572855185	0.0375841496314997
KEGG43	ST	97	0.0242025277373272	0.00798435894644017	1346	1346	0.00252018506045537	0.037655969010105
KEGG26	ST	5522	-0.120756572865035	0.0401223771174042	1346	1346	0.00267421224361496	0.0395731984896483
KEGG31	ST	6	0.913711548873023	0.303493071656588	1346	1058	0.00273415947803637	0.0400749660637902
KEGG66	ST	30	-0.0106257717136971	0.00350014331297902	1346	1346	0.00290866528339608	0.041835849263052
KEGG74	ST	97	0.00933554448361982	0.00312592571708937	1346	1346	0.00290541861659146	0.041835849263052
KEGG22	ST	15	-0.0117399925836486	0.00392041844047638	1346	1346	0.00320028059374761	0.0456039984609034
KEGG31	ST	5522	1.27079726831624	0.430725185446116	1346	1058	0.0032703518646297	0.0461749680703221
KEGG11	ST	15	-0.0110065365872301	0.00374988097213433	1346	1346	0.0034562657277625	0.0475585668521674
KEGG23	ST	30	-0.0115509204997451	0.00393036385375233	1346	1346	0.00352060920337842	0.0475585668521674
KEGG3	ST	8	0.0143958073546688	0.00487970405274332	1346	1346	0.00349240382556128	0.0475585668521674
KEGG51	ST	30	-0.0193231545111187	0.00659813719424979	1346	1346	0.00346351838705044	0.0475585668521674
KEGG64	ST	30	0.035194495272694	0.0120280286155982	1346	1346	0.00352285680386425	0.0475585668521674
KEGG2	ST	8	0.0125428627323827	0.00428157132751731	1346	1346	0.00355706092400339	0.0476027544525323
KEGG60	ST	30	-0.0102459737791016	0.00349830464814424	1346	1346	0.00397247048764203	0.0527037248317335
KEGG14	ST	30	-0.0096577022274884	0.00330419910228332	1346	1346	0.00408402834318384	0.0537206805141875
KEGG30	ST	30	-0.0095710862978511	0.00330088021858853	1346	1346	0.00436525356383929	0.0568973618901699
KEGG65	ST	39	-0.0149836166475384	0.0052555972272645	1346	1346	0.00443366338105258	0.0568973618901699
KEGG80	ST	39	-0.0149832387282023	0.005255835492211	1346	1346	0.00443644147291773	0.0568973618901699
KEGG51	ST	39	-0.0294908575262336	0.0103692440143321	1346	1346	0.00452288197841044	0.0570550439735547
KEGG71	ST	97	0.012573028156032	0.00441874815754314	1346	1346	0.00450605791432645	0.0570550439735547
KEGG22	ST	30	-0.0094576069719509	0.00329849326857609	1346	1346	0.0048015979976776	0.0595496220356755
KEGG26	ST	1290	-0.107592141962257	0.0381910565385797	1346	1346	0.00494436766970541	0.0595496220356755
KEGG27	ST	15	-0.0151968350246725	0.00538088888029011	1346	1346	0.00495279507509192	0.0595496220356755
KEGG56	ST	1290	-0.0937506127660945	0.0332735992075668	1346	1346	0.00495177173049902	0.0595496220356755
KEGG65	ST	97	0.0117615723266764	0.00416901159493479	1346	1346	0.0048563495045148	0.0595496220356755
KEGG80	ST	97	0.0117616323027463	0.00416913394190347	1346	1346	0.00485737766256932	0.0595496220356755
KEGG2	ST	4603	0.0195890295808505	0.00701157294685955	1346	1346	0.00529766013944103	0.0632023174775174
KEGG57	ST	15	-0.0124891643601186	0.00444721016741194	1346	1346	0.0057400528704794	0.0679533951359062
KEGG139	ST	7	0.0136578029530927	0.00496943978695132	1346	1346	0.00608272853047358	0.0712923265188097
KEGG71	ST	7	0.0132053847162506	0.00480867230005865	1346	1346	0.00611474145580434	0.0712923265188097
KEGG103	ST	7	0.0134024598068176	0.0049266407967693	1346	1346	0.00661506633107706	0.0765457675453203
KEGG81	ST	39	-0.0336891285287676	0.0124186083561964	1346	1346	0.00676305786238919	0.0776742242553504
KEGG48	ST	15	-0.0348252289125009	0.0128511032010671	1346	1346	0.00681883968021322	0.0777347723544307
