feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG77	ST	109	-0.0106416178922232	0.0236401151548591	1346	1346	0.653001488678398	0.866841333070098
KEGG77	ST	5	-0.00326372485303064	0.00731275025403084	1346	1346	0.655539709787306	0.866841333070098
KEGG88	ST	109	-0.0148471301716464	0.0323980744820392	1346	1345	0.647320163925132	0.866841333070098
KEGG88	ST	188	-0.0101662344549954	0.0227387240634307	1346	1345	0.655482237857465	0.866841333070098
KEGG93	ST	109	-0.0148876388949945	0.0327520400799657	1346	1345	0.649976470978826	0.866841333070098
KEGG94	ST	109	-0.0148876388949945	0.0327520400799657	1346	1345	0.649976470978826	0.866841333070098
KEGG14	ST	8	-0.0018722341840339	0.00428345201573613	1346	1346	0.662546999406049	0.867595286553534
KEGG16	ST	582	0.00329046199953798	0.00755247885229867	1346	1346	0.664039843136523	0.867595286553534
KEGG287	ST	39	-0.0145117176312738	0.0333173997308957	1346	1346	0.663273276802082	0.867595286553534
KEGG30	ST	8	-0.00186691989302979	0.00429219721286733	1346	1346	0.664085281065668	0.867595286553534
KEGG35	ST	8	-0.00210478271195904	0.00479409585283817	1346	1346	0.661156590140456	0.867595286553534
KEGG42	ST	8	-0.00230209875149997	0.00521075096915833	1346	1346	0.659178039060634	0.867595286553534
KEGG45	ST	8	-0.00161112923106023	0.00365651293534859	1346	1346	0.659800710038836	0.867595286553534
KEGG51	ST	2990	-0.00779839731753177	0.017749558459248	1346	1346	0.660474859398783	0.867595286553534
KEGG54	ST	2990	0.00988957807116229	0.0225929029482409	1346	1346	0.661710562910559	0.867595286553534
KEGG9	ST	4603	0.00366736243463957	0.00839038058545738	1346	1346	0.662126362395819	0.867595286553534
KEGG93	ST	188	-0.010183549018584	0.0230562229231582	1346	1345	0.659354374237856	0.867595286553534
KEGG94	ST	188	-0.010183549018584	0.0230562229231582	1346	1345	0.659354374237856	0.867595286553534
KEGG103	ST	188	-0.0143554269917729	0.0336052422111855	1346	1346	0.66973826522604	0.869959547546276
KEGG24	ST	97	0.00943082422678635	0.022357018640457	1346	1345	0.673218759301033	0.869959547546276
KEGG28	ST	7	-0.00423146672267268	0.00999851257194405	1346	1346	0.672237631404517	0.869959547546276
KEGG36	ST	8	-0.00224872763205003	0.00529706294983641	1346	1346	0.671841615402017	0.869959547546276
KEGG37	ST	2990	-0.0102486748622383	0.023916687900735	1346	1346	0.668348613976045	0.869959547546276
KEGG37	ST	45	0.00225047720409429	0.0053005709524252	1346	1346	0.671919975036884	0.869959547546276
KEGG5	ST	8	-0.00240026541219037	0.00562552253242034	1346	1345	0.669685894822304	0.869959547546276
KEGG51	ST	97	0.00343569849370092	0.00804815492026372	1346	1346	0.669527385285414	0.869959547546276
KEGG59	ST	97	0.00943028914604016	0.0223575505325785	1346	1345	0.673243548490978	0.869959547546276
KEGG74	ST	5	-0.000862926854861733	0.00203952783125678	1346	1346	0.672479616946488	0.869959547546276
KEGG77	ST	582	-0.00706417355996012	0.0165475530118427	1346	1346	0.66988804287427	0.869959547546276
KEGG8	ST	7	-0.00404570137497326	0.00955783320512367	1346	1346	0.67217485266729	0.869959547546276
KEGG8	ST	8	-0.0023135635271799	0.00540537507328234	1346	1346	0.669218281675653	0.869959547546276
KEGG18	ST	398	-0.00396406743418399	0.00940832016987606	1346	1346	0.67407506473263	0.870303292469394
KEGG103	ST	109	-0.0193155430418675	0.047053536240718	1346	1346	0.681907748305179	0.874859113425475
KEGG16	ST	188	0.00328868647693052	0.00797480058177755	1346	1346	0.680952335736791	0.874859113425475
KEGG19	ST	4603	0.00335470083932556	0.0082158317830974	1346	1346	0.683113351796311	0.874859113425475
KEGG25	ST	398	-0.00389752117137291	0.00942566661590684	1346	1346	0.6797798669959	0.874859113425475
KEGG46	ST	4603	0.00514615553136674	0.0124486374881414	1346	1346	0.679396935973239	0.874859113425475
KEGG84	ST	45	0.00203198852594446	0.00496357195282964	1346	1345	0.683288274423276	0.874859113425475
KEGG88	ST	6	-0.00706851110850403	0.0173006993833367	1346	1345	0.68307806785299	0.874859113425475
KEGG9	ST	45	0.00201002889055554	0.00487237996872998	1346	1346	0.680273837225909	0.874859113425475
KEGG93	ST	6	-0.00706603245002058	0.0173072942779388	1346	1345	0.683286413714074	0.874859113425475
KEGG94	ST	6	-0.00706603245002058	0.0173072942779388	1346	1345	0.683286413714074	0.874859113425475
KEGG287	ST	1290	-0.017368948969026	0.0428188741931128	1346	1346	0.685098031274646	0.875351687535625
KEGG65	ST	5	-0.00133506903233137	0.00329459599080311	1346	1346	0.685379326498004	0.875351687535625
KEGG80	ST	5	-0.00133534374994211	0.00329473566764763	1346	1346	0.685330675561928	0.875351687535625
KEGG48	ST	398	-0.0136575982844197	0.0338782779903026	1346	1346	0.686913164239539	0.876279971188099
KEGG5	ST	2990	-0.0100949632184583	0.0250867983646358	1346	1345	0.687453485480136	0.876279971188099
KEGG66	ST	5	-0.00147836130329335	0.00367179702630578	1346	1346	0.687814298372465	0.876279971188099
KEGG42	ST	398	-0.00341599204046356	0.00845806816739031	1346	1346	0.688522418638688	0.876456577572325
KEGG63	ST	5	-0.000810949197037089	0.00202756599638831	1346	1346	0.689428809899947	0.876885073087618
KEGG139	ST	22	-0.0235457733709554	0.0592447013827078	1346	1346	0.691502195256182	0.878337881029294
KEGG37	ST	7	-0.00445510010200888	0.0112321661651397	1346	1346	0.69171248330572	0.878337881029294
KEGG7	ST	4603	0.00322279032607495	0.0081438890367172	1346	1346	0.692375204576034	0.878454608279074
KEGG26	ST	398	-0.0189144134987187	0.0481543593585538	1346	1346	0.69458599672082	0.880533648231748
KEGG41	ST	121	-0.00735525213094385	0.0188619968749966	1346	1346	0.696644460195737	0.882416316247933
KEGG40	ST	7	-0.00190647369539859	0.00496075912872635	1346	1346	0.700848318068177	0.887011152555037
KEGG9	ST	7	0.00250075512453792	0.0065482062767865	1346	1346	0.702681036354299	0.888599930114434
KEGG134	ST	8	-0.00210209866553159	0.00551450357301431	1346	1346	0.703507928817206	0.888915190845386
KEGG46	ST	7	0.00372212228841435	0.00981963560126604	1346	1346	0.70478686811213	0.889322267698267
KEGG66	ST	8	-0.00163414201994998	0.00430977254225871	1346	1346	0.704985813250088	0.889322267698267
KEGG84	ST	7	-0.00389936895860215	0.010318074700631	1346	1345	0.705575809590156	0.889337568353194
KEGG46	ST	188	-0.0051932793826398	0.0138687089684638	1346	1346	0.708555373890216	0.892362291666974
KEGG109	ST	22	-0.0143968637835895	0.0389729900677862	1346	1344	0.712255950817409	0.894434342240732
KEGG24	ST	22	-0.023195880803097	0.0628584254918838	1346	1345	0.712510620320412	0.894434342240732
KEGG59	ST	22	-0.0231981823417369	0.0628680324857295	1346	1345	0.712525343461428	0.894434342240732
KEGG60	ST	45	-0.00150378301416509	0.00407315752158551	1346	1346	0.712499761895797	0.894434342240732
KEGG50	ST	1290	-0.00248623641912622	0.00674604069883815	1346	1346	0.714018806961175	0.89557860139629
KEGG46	ST	1290	-0.00491437095543702	0.0134444744836735	1346	1346	0.714873436333658	0.895920373385586
KEGG18	ST	5	-0.00136904695104101	0.0037806092435354	1346	1346	0.717583604773185	0.896431625823899
KEGG19	ST	45	0.00176236499618479	0.00490223366407879	1346	1346	0.719478639144999	0.896431625823899
KEGG25	ST	5	-0.00134023015100653	0.00378293481892411	1346	1346	0.723437617648205	0.896431625823899
KEGG36	ST	45	0.00168665633122253	0.0047030878512701	1346	1346	0.720425020557304	0.896431625823899
KEGG42	ST	2990	-0.00614693401920475	0.0168953363306636	1346	1346	0.716084953159658	0.896431625823899
KEGG43	ST	22	0.00369957009999661	0.0103870373561441	1346	1346	0.722199906696482	0.896431625823899
KEGG5	ST	7	-0.00413499493702907	0.0116917480936759	1346	1345	0.723644072114146	0.896431625823899
KEGG54	ST	1290	0.00564354888660868	0.0156470174189518	1346	1346	0.718460413397433	0.896431625823899
KEGG64	ST	121	0.0206920807753277	0.0586199812562939	1346	1346	0.724489991278617	0.896431625823899
KEGG66	ST	45	0.00144825883059429	0.00406199011504286	1346	1346	0.722020185796221	0.896431625823899
KEGG7	ST	45	0.0015895095882715	0.00451625063007542	1346	1346	0.725183478980348	0.896431625823899
KEGG75	ST	109	-0.0133303474253937	0.0368486873074012	1346	1346	0.717593226497679	0.896431625823899
KEGG84	ST	8	-0.00200490868058639	0.00559054008193881	1346	1345	0.720770372879141	0.896431625823899
